Location,Date,Set Type,Song Order,Song
Barcelo Maya,1/17/2019,First Set,1,Shakedown Street
Barcelo Maya,1/17/2019,First Set,2,Mr. Charlie
Barcelo Maya,1/17/2019,First Set,3,Jack Straw
Barcelo Maya,1/17/2019,First Set,4,Friend of the Devil
Barcelo Maya,1/17/2019,First Set,5,Here Comes Sunshine
Barcelo Maya,1/17/2019,First Set,6,New Speedway Boogie
Barcelo Maya,1/17/2019,First Set,7,Bird Song
Barcelo Maya,1/17/2019,First Set,8,New Speedway Boogie Reprise
Barcelo Maya,1/17/2019,Second Set,9,China Cat Sunflower
Barcelo Maya,1/17/2019,Second Set,10,Cumberland Blues
Barcelo Maya,1/17/2019,Second Set,11,I Know You Rider
Barcelo Maya,1/17/2019,Second Set,12,Terrapin Station
Barcelo Maya,1/17/2019,Second Set,13,Drums
Barcelo Maya,1/17/2019,Second Set,14,Space
Barcelo Maya,1/17/2019,Second Set,15,Stella Blue
Barcelo Maya,1/17/2019,Second Set,16,Help on the Way
Barcelo Maya,1/17/2019,Second Set,17,Slipknot
Barcelo Maya,1/17/2019,Second Set,18,Franklin's Tower
Barcelo Maya,1/17/2019,Encore,19,Ripple
Barcelo Maya,1/19/2019,First Set,1,Deal
Barcelo Maya,1/19/2019,First Set,2,Hell in a Bucket
Barcelo Maya,1/19/2019,First Set,3,Cold Rain and Snow
Barcelo Maya,1/19/2019,First Set,4,Ramble On Rose
Barcelo Maya,1/19/2019,First Set,5,Alabama Getaway
Barcelo Maya,1/19/2019,First Set,6,Peggy-O
Barcelo Maya,1/19/2019,First Set,7,China Doll
Barcelo Maya,1/19/2019,First Set,8,One More Saturday Night
Barcelo Maya,1/19/2019,Second Set,9,Estimated Prophet
Barcelo Maya,1/19/2019,Second Set,10,He's Gone
Barcelo Maya,1/19/2019,Second Set,11,St. Stephen
Barcelo Maya,1/19/2019,Second Set,12,William Tell Bridge
Barcelo Maya,1/19/2019,Second Set,13,The Eleven
Barcelo Maya,1/19/2019,Second Set,14,Drums
Barcelo Maya,1/19/2019,Second Set,15,Space
Barcelo Maya,1/19/2019,Second Set,16,Uncle John's Band
Barcelo Maya,1/19/2019,Second Set,17,Morning Dew
Barcelo Maya,1/19/2019,Encore,18,Lovelight
Barcelo Maya,1/20/2019,First Set,1,Sugar Magnolia
Barcelo Maya,1/20/2019,First Set,2,Bertha
Barcelo Maya,1/20/2019,First Set,3,Good Lovin
Barcelo Maya,1/20/2019,First Set,4,Brown Eyed Women
Barcelo Maya,1/20/2019,First Set,5,Loser
Barcelo Maya,1/20/2019,First Set,6,Sugaree
Barcelo Maya,1/20/2019,First Set,7,US Blues
Barcelo Maya,1/20/2019,First Set,8,Sunshine Daydream
Barcelo Maya,1/20/2019,Second Set,9,Scarlet Begonias
Barcelo Maya,1/20/2019,Second Set,10,Fire on the Mountain
Barcelo Maya,1/20/2019,Second Set,11,Dark Star
Barcelo Maya,1/20/2019,Second Set,12,Althea
Barcelo Maya,1/20/2019,Second Set,13,Dark Star (Second Verse)
Barcelo Maya,1/20/2019,Second Set,14,Playin in the Band
Barcelo Maya,1/20/2019,Second Set,15,Drums
Barcelo Maya,1/20/2019,Second Set,16,Space
Barcelo Maya,1/20/2019,Second Set,17,Other One
Barcelo Maya,1/20/2019,Second Set,18,Standing on the Moon
Barcelo Maya,1/20/2019,Second Set,19,Casey Jones
Barcelo Maya,1/20/2019,Encore,20,Eyes of the World
Barcelo Maya,1/20/2019,Encore,21,Werewolves of London
